date,country,confirmed,deaths,recovered,active,death_rate_float,recovery_rate_float,death_rate,recovery_rate
01/22/2020,China,547,17,28,502,0.031078610603290677,0.051188299817184646,3.11 %,5.12 %
01/22/2020,Hong Kong,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Japan,2,0,0,2,0.0,0.0,0.0 %,0.0 %
01/22/2020,Macau,1,0,0,1,0.0,0.0,0.0 %,0.0 %
01/22/2020,South Korea,1,0,0,1,0.0,0.0,0.0 %,0.0 %
01/22/2020,Taiwan,1,0,0,1,0.0,0.0,0.0 %,0.0 %
01/22/2020,Thailand,2,0,0,2,0.0,0.0,0.0 %,0.0 %
01/22/2020,United States,1,0,0,1,0.0,0.0,0.0 %,0.0 %
01/22/2020,Australia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Brazil,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Colombia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Malaysia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Mexico,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Philippines,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Singapore,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Vietnam,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,France,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Nepal,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Canada,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Cambodia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Ivory Coast,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Sri Lanka,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Germany,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Finland,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,United Arab Emirates,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,India,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Italy,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Russia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Sweden,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,United Kingdom,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Spain,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Belgium,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Egypt,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Iran,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Israel,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Lebanon,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Iraq,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Afghanistan,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Bahrain,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Kuwait,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Oman,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Algeria,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Austria,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Croatia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Switzerland,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Georgia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Greece,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,North Macedonia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Norway,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Pakistan,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Romania,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Denmark,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Estonia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Netherlands,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,San Marino,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Azerbaijan,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Belarus,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Iceland,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Lithuania,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,New Zealand,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Nigeria,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Ireland,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Luxembourg,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Monaco,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Qatar,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Armenia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Czech Republic,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Dominican Republic,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Ecuador,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Andorra,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Indonesia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Latvia,0,0,0,0,0.0,0.0,nan %,nan %
01/22/2020,Morocco,0,0,0,0,0.0,0.0,nan %,nan %
